key,version,date_from,date_to,CodigoCNAEPrincipal,DescricaoCNAEPrincipal
211,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3103900,"FABRICAÇÃO DE M"
212,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3104700,"FABRICAÇÃO DE C"
213,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3211602,"FABRICAÇÃO DE A"
214,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3212400,"FABRICAÇÃO DE B"
215,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3220500,"FABRICAÇÃO DE I"
216,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3230200,"FABRICAÇÃO DE A"
217,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3240003,"FABRICAÇÃO DE M"
218,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3240099,"FABRICAÇÃO DE O"
219,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3250701,"FABRICAÇÃO DE I"
220,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3250702,"FABRICAÇÃO DE M"
221,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3250703,"FABRICAÇÃO DE A"
222,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3250704,"FABRICAÇÃO DE A"
223,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3250705,"FABRICAÇÃO DE M"
224,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3250706,"SERVIÇOS DE PRÓ"
225,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3250707,"FABRICAÇÃO DE A"
226,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3292202,"FABRICAÇÃO DE E"
227,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3299002,"FABRICAÇÃO DE C"
228,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3299003,"FABRICAÇÃO DE L"
229,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3299004,"FABRICAÇÃO DE P"
230,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3299005,"FABRICAÇÃO DE A"
231,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3299099,"FABRICAÇÃO DE P"
232,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3312103,"MANUTENÇÃO E RE"
233,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3313901,"MANUTENÇÃO E RE"
234,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3313999,"MANUTENÇÃO E RE"
235,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314702,"MANUTENÇÃO E RE"
236,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314703,"MANUTENÇÃO E RE"
237,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314704,"MANUTENÇÃO E RE"
238,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314707,"MANUTENÇÃO E RE"
239,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314708,"MANUTENÇÃO E RE"
240,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314709,"MANUTENÇÃO E RE"
241,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314710,"MANUTENÇÃO E RE"
242,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314711,"MANUTENÇÃO E RE"
243,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314713,"MANUTENÇÃO E RE"
244,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314720,"MANUTENÇÃO E RE"
245,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3314799,"MANUTENÇÃO E RE"
246,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3317101,"MANUTENÇÃO E RE"
247,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3319800,"MANUTENÇÃO E RE"
248,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3321000,"INSTALAÇÃO DE M"
