assuntokey;CNAEPrincipalkey;datakey;radicalcnpjkey;codigoproblemakey;tipoatendimentokey;PorcentagemReclamacoesPorProblema;PorcentagemReclamacoesPorAssunto;PorcentagemReclamacoesPorCNPJ
155;252;6271;1163;4476;2;71;2;18
236;631;6386;28770;2757;1;43;3;450
157;571;3624;14450;4478;2;123;4;398
101;234;2404;6254;1609;6;66;4;260
131;473;19341;34021;2138;2;11;0;175
54;473;18539;1423;490;3;2;0;7
121;626;11608;31966;1507;2;12;1;275
155;252;13724;1163;2572;3;18;1;8
155;252;3570;1163;4043;1;113;4;32
193;738;18935;29728;3578;2;18;1;157
155;252;3548;1163;4043;1;113;4;32
155;252;11076;1163;4043;3;36;1;10
52;683;16562;6920;515;2;3;0;41
100;445;14991;21309;1826;1;12;0;142
65;811;5360;4494;501;6;9;1;83
95;489;15410;31018;1481;1;9;0;201
100;614;8060;29680;1608;6;19;1;368
95;153;1848;2282;1481;6;80;5;123
155;252;3559;1163;4043;1;113;4;32
155;252;5029;1163;2551;2;50;3;23
52;595;10943;22081;4632;2;42;0;201
121;445;15921;34777;2128;1;13;0;218
53;595;302;33382;4656;6;1541;17;11053
101;234;19648;6254;1487;3;7;0;31
157;575;2218;24322;4504;3;203;7;1096
62;683;14880;18649;4072;6;27;0;125
53;596;6935;23378;4573;1;65;0;337
54;77;13482;1423;517;6;3;0;10
52;595;9406;1;4506;2;47;0;0
53;601;13185;32141;4573;6;34;0;243
153;255;8472;34737;2570;2;30;1;410
218;575;1839;24322;3601;6;195;11;1322
54;595;4486;28042;517;3;11;1;625
53;596;7235;23378;603;3;8;0;323
228;706;10053;770;3882;6;38;2;7
153;255;10893;34737;2549;2;23;1;318
153;255;10981;34737;2549;2;23;1;316
53;595;11534;27739;516;2;4;0;240
75;595;17739;27700;538;3;3;0;156
153;255;16361;34737;4474;2;27;0;212
231;581;6327;34104;3613;2;57;3;539
155;252;16904;1163;2551;2;15;0;6
52;595;10889;22081;515;2;4;0;202
123;445;19438;21309;2314;2;11;0;109
235;437;8146;23201;3278;3;40;2;284
157;571;7650;30743;4478;3;58;2;401
155;252;8418;1163;2453;3;29;1;13
62;595;3840;27700;4640;2;120;1;721
156;571;15461;14450;2637;2;17;1;93
155;252;3581;1163;4043;1;112;4;32
75;595;15950;28192;538;6;3;0;176
52;607;5875;4288;557;2;9;0;72
157;575;12527;24649;2553;2;20;1;196
228;516;15858;30552;4824;1;30;1;192
53;611;13420;15715;603;2;4;0;117
100;445;15321;24390;1486;6;9;0;159
131;469;18547;1647;2138;2;11;0;8
153;255;15305;34737;2440;6;15;0;226
228;516;2536;21426;3916;6;154;8;844
156;575;17102;24322;2495;2;14;0;142
232;445;18138;21309;3235;2;17;1;117
155;252;5084;1163;2551;2;50;3;22
52;595;4383;28042;515;3;11;1;639
155;252;13636;1163;2572;3;18;1;8
95;422;4181;34067;2042;2;48;2;814
93;455;17393;28434;2101;2;12;0;163
100;389;12536;5300;1486;6;11;0;42
218;580;10946;29934;3601;2;32;1;273
101;458;18049;32466;1460;8;8;0;179
100;387;8666;34343;1486;3;17;1;396
75;808;8843;16913;538;6;6;0;191
52;595;9909;22081;488;2;4;0;222
156;575;13565;24649;2552;3;18;1;181
52;634;2959;29598;4572;6;154;1;1000
155;252;14813;1163;2551;2;17;1;7
157;575;188;23;2574;3;1369;83;12
124;471;861;24390;1510;6;175;14;2832
157;575;1771;24566;2638;6;148;8;1387
52;595;3388;1;515;2;15;1;0
100;626;17841;31966;2108;2;11;0;179
73;658;1003;28460;4593;3;457;7;2837
157;156;5545;16682;2542;6;45;2;300
62;595;15445;28192;525;2;3;0;182
155;252;8384;1163;4476;3;53;1;13
212;587;463;1230;3630;6;784;45;265
138;419;6699;25639;2427;6;36;2;382
157;575;9224;24649;4504;6;48;1;267
52;595;9522;28042;515;2;5;0;294
80;596;9392;23378;1339;2;14;0;248
100;389;14342;5300;1608;6;11;0;36
100;378;19445;16682;1486;2;7;0;85
53;595;4801;18709;558;2;11;1;389
72;419;1787;25272;535;6;29;4;1414
93;170;2010;30719;1479;6;73;4;1528
62;584;11246;29197;525;3;4;0;259
155;252;13658;1163;2572;3;18;1;8
52;595;17519;33382;515;2;2;0;190
75;595;11143;1;538;2;4;0;0
52;595;3615;28192;4572;7;126;1;779
119;445;15090;4103;1505;2;9;0;27
155;252;3526;1163;4043;1;114;4;32
73;575;4450;24649;536;2;12;1;553
155;252;15879;1163;4487;2;28;0;7
235;667;7498;2185;4697;1;62;3;29
155;252;6481;1163;2442;2;37;2;17
156;575;18434;24322;2552;2;13;0;131
131;489;17134;3026;1639;2;9;0;17
155;252;4169;1163;4476;2;107;3;27
52;595;14853;24611;515;2;3;0;165
133;471;2857;4825;1519;6;53;4;168
155;252;3515;1163;4043;1;115;4;33
53;596;7794;23378;4599;2;59;0;299
155;252;16101;1163;2551;2;15;0;7
93;183;14849;16679;1479;6;9;0;112
155;252;16430;1163;2494;2;15;0;7
100;614;1699;29680;1608;6;94;5;1746
218;571;12906;21265;3601;6;27;1;164
153;252;16779;1163;2549;2;15;0;6
155;252;16948;1163;2551;2;15;0;6
156;571;5212;30743;2552;3;48;2;589
240;445;14554;21309;2093;6;14;1;146
155;252;3537;1163;4043;1;114;4;32
96;378;9976;29377;1545;6;15;0;294
53;595;13713;27739;516;2;3;0;202
62;742;5758;1999;525;6;9;1;34
52;595;4243;29762;4572;2;107;1;701
52;652;9540;30092;602;3;6;0;315
100;156;15277;16682;1486;2;9;0;109
156;571;17946;21265;2552;3;14;0;118
157;575;17907;24649;4489;3;25;0;137
100;156;14408;16682;1486;6;10;0;115
218;571;9846;30743;3601;2;36;2;312
198;516;1249;32732;4762;6;381;15;2620
53;595;9503;33382;516;2;5;0;351
155;252;3288;1163;4465;2;135;4;35
87;386;13089;25576;1473;6;11;0;195
52;595;8380;22081;515;2;6;0;263
207;795;18264;17255;3490;2;19;1;94
155;252;7219;1163;2551;3;35;2;16
92;506;12299;34129;1478;6;12;0;277
52;595;8378;28042;515;2;6;0;334
133;471;14821;23512;1580;6;10;0;158
155;252;4087;1163;4043;1;98;3;28
155;252;4109;1163;4043;1;98;3;28
157;575;11194;24649;4478;2;40;1;220
156;571;15117;21265;2552;2;16;1;140
156;571;6861;21265;4477;2;65;2;309
123;446;920;23423;1509;3;164;13;2545
156;583;7747;24;2552;3;32;2;0
94;446;2207;33300;1480;6;67;4;1508
123;209;13554;32910;1631;6;12;0;242
157;571;11625;14450;4478;2;38;1;124
52;607;16750;28054;693;6;4;0;167
100;472;15127;25221;1486;1;9;0;166
155;252;3079;1163;4476;2;145;5;37
62;595;3831;28042;567;3;14;1;731
207;565;18642;10509;3762;8;20;1;56
52;595;8640;27700;4572;6;52;0;320
156;580;10106;29934;4446;3;43;1;296
208;321;13904;2305;3937;3;28;1;16
139;624;3224;23964;1525;6;47;4;743
136;422;12905;25721;1644;6;12;1;199
240;422;14553;34067;2093;6;14;1;234
53;637;2880;25494;4573;6;158;1;885
124;329;11391;14903;1510;6;13;1;130
169;471;5307;1097;3159;6;59;3;20
52;595;1425;29762;4572;6;320;3;2088
146;626;11472;31966;2152;1;18;1;278
157;575;6818;26838;2553;2;37;2;393
155;252;4098;1163;4043;1;98;3;28
67;626;4537;32959;503;3;11;1;726
27;730;19242;4976;363;2;1;0;25
53;595;8770;28042;516;3;5;0;319
157;575;17823;26838;2585;2;14;0;150
100;533;12605;22205;1608;2;12;0;176
155;252;4142;1163;4043;1;97;3;28
52;595;18657;1;4064;2;21;0;0
100;626;9720;30966;1486;2;15;1;318
